iter	Passed	Remaining
441	1196	1510
442	1198	1506
443	1199	1502
444	1201	1498
445	1202	1494
446	1206	1492
447	1207	1488
448	1209	1484
449	1211	1480
450	1212	1475
451	1214	1472
452	1215	1468
453	1217	1464
454	1221	1462
455	1222	1458
456	1224	1454
457	1226	1451
458	1227	1447
459	1229	1443
460	1231	1439
461	1232	1435
462	1235	1433
463	1237	1429
464	1239	1425
465	1241	1422
466	1242	1418
467	1244	1414
468	1245	1410
469	1247	1406
470	1248	1402
471	1251	1400
472	1253	1396
473	1255	1392
474	1256	1388
475	1258	1384
476	1259	1381
477	1261	1377
478	1263	1374
479	1266	1372
480	1269	1369
481	1271	1366
482	1273	1363
483	1275	1360
484	1278	1357
485	1279	1353
486	1286	1355
487	1288	1351
488	1290	1348
489	1292	1345
490	1294	1342
491	1298	1340
492	1300	1337
493	1302	1334
494	1304	1330
495	1306	1327
496	1308	1324
497	1310	1320
498	1314	1319
499	1316	1316
500	1317	1312
501	1320	1310
502	1325	1309
503	1332	1310
504	1334	1307
505	1336	1304
506	1338	1301
507	1340	1298
508	1346	1298
509	1348	1295
510	1350	1292
511	1352	1289
512	1354	1286
513	1362	1288
514	1366	1286
515	1367	1283
516	1371	1281
517	1376	1281
518	1378	1277
519	1380	1274
520	1382	1271
521	1385	1268
522	1388	1266
523	1390	1263
524	1392	1259
525	1394	1256
526	1396	1253
527	1398	1250
528	1400	1246
529	1403	1244
530	1405	1241
531	1407	1238
532	1409	1234
533	1411	1231
534	1413	1228
535	1415	1225
536	1416	1221
537	1420	1219
538	1422	1216
539	1423	1212
540	1425	1209
541	1427	1206
542	1429	1203
543	1431	1199
544	1434	1197
545	1436	1194
546	1438	1191
547	1441	1188
548	1443	1185
549	1444	1182
550	1446	1178
551	1450	1176
552	1452	1173
553	1453	1170
554	1456	1167
555	1457	1164
556	1459	1161
557	1461	1157
558	1463	1154
559	1467	1152
560	1469	1150
561	1471	1146
562	1473	1143
563	1475	1140
564	1476	1137
565	1478	1133
566	1490	1137
567	1493	1135
568	1494	1132
569	1500	1131
570	1502	1128
571	1503	1125
572	1505	1122
573	1507	1118
574	1509	1115
575	1514	1114
576	1521	1115
577	1528	1116
578	1531	1113
579	1535	1111
580	1539	1109
581	1544	1109
582	1546	1106
583	1549	1103
584	1560	1106
585	1565	1106
586	1567	1103
587	1578	1106
588	1581	1103
589	1586	1102
590	1592	1102
591	1596	1100
592	1601	1098
593	1607	1099
594	1610	1096
595	1617	1096
596	1624	1096
597	1631	1096
598	1640	1097
599	1644	1096
600	1655	1098
601	1666	1101
602	1672	1101
603	1675	1098
604	1687	1101
605	1693	1101
